,station,mean_temp,mean_wind_speed
0,33,-2.2,7.1
0,33,-2.2,7.1
0,34,-1.5,6.7
0,34,-1.5,6.7
0,35,-1.0,12.1
0,36,-1.9,6.5
0,37,-1.8,8.0
0,37,-1.8,8.0
0,37,-1.8,8.0
0,38,-1.7,6.6
0,39,-1.9,8.6
0,39,-1.9,8.6
0,39,-1.9,8.6
0,40,-2.2,6.6
0,41,-1.9,9.4
0,42,-2.0,9.3
0,42,-2.0,9.3
0,43,-1.8,8.8
0,44,-2.0,8.6
0,45,-2.2,6.5
0,46,-1.6,7.2
0,46,-1.6,7.2
0,47,-1.3,9.7
0,0,-1.7,5.6
0,0,-1.7,5.6
0,1,-1.7,5.6
0,2,-0.4,6.1
0,2,-0.4,6.1
0,3,-1.0,6.2
0,3,-1.0,6.2
0,4,0.7,6.9
0,5,-1.0,6.6
0,5,-1.0,6.6
0,6,-0.3,6.1
0,6,-0.3,6.1
0,6,-0.3,6.1
0,7,-1.6,10.9
0,8,-1.0,5.5
0,9,0.1,5.7
0,10,-1.8,7.4
0,11,0.2,5.8
0,12,-0.9,5.2
0,12,-0.9,5.2
0,13,-0.7,5.1
0,13,-0.7,5.1
0,13,-0.7,5.1
0,14,0.3,5.8
0,15,0.4,5.2
0,16,-0.4,6.0
0,17,0.7,6.0
0,17,0.7,6.0
0,17,0.7,6.0
0,17,0.7,6.0
0,18,0.4,5.6
0,19,0.7,6.0
0,20,0.3,6.6
0,20,0.3,6.6
0,21,-0.8,5.0
0,21,-0.8,5.0
0,22,-0.2,5.4
0,22,-0.2,5.4
0,22,-0.2,5.4
0,23,0.6,7.7
0,23,0.6,7.7
0,24,0.4,6.8
0,24,0.4,6.8
0,25,-0.1,6.1
0,25,-0.1,6.1
0,26,-0.1,4.9
0,27,-0.5,5.9
0,28,-0.9,6.5
0,29,0.0,5.2
0,30,0.6,8.3
0,31,0.1,5.3
0,31,0.1,5.3
0,31,0.1,5.3
0,32,-0.9,6.7
0,33,0.3,6.1
0,33,0.3,6.1
0,33,0.3,6.1
0,34,-0.5,5.1
0,34,-0.5,5.1
0,35,0.5,7.0
0,36,0.1,5.6
0,37,-0.8,5.8
0,37,-0.8,5.8
0,37,-0.8,5.8
0,38,-0.6,5.0
0,39,-0.7,6.0
0,39,-0.7,6.0
0,39,-0.7,6.0
0,40,0.3,5.7
0,41,-0.5,5.9
0,42,-0.5,5.9
0,42,-0.5,5.9
0,43,-0.9,6.3
0,44,-1.0,6.4
0,45,-0.8,5.3
0,46,-0.5,5.4
0,46,-0.5,5.4
0,47,0.7,7.7
0,0,-0.4,3.9
0,0,-0.4,3.9
0,1,-0.4,3.9
0,2,0.2,3.6
0,2,0.2,3.6
0,3,0.9,4.5
0,3,0.9,4.5
0,4,1.9,4.4
0,5,1.2,5.7
0,5,1.2,5.7
0,6,1.4,4.5
0,6,1.4,4.5
0,6,1.4,4.5
0,7,-0.4,8.8
0,8,-0.2,3.2
0,9,0.9,3.2
0,10,-0.5,5.7
0,11,1.0,3.3
0,12,0.0,4.2
0,12,0.0,4.2
0,13,0.2,3.3
0,13,0.2,3.3
0,13,0.2,3.3
0,14,1.2,3.2
0,15,1.6,3.9
0,16,1.3,3.9
0,17,1.9,3.8
0,17,1.9,3.8
0,17,1.9,3.8
0,17,1.9,3.8
0,18,1.3,3.5
0,19,1.9,3.8
0,20,1.3,4.2
0,20,1.3,4.2
0,21,0.0,3.2
0,21,0.0,3.2
0,22,0.5,3.2
0,22,0.5,3.2
0,22,0.5,3.2
0,23,1.8,4.7
0,23,1.8,4.7
0,24,1.4,4.0
0,24,1.4,4.0
0,25,1.1,3.1
0,25,1.1,3.1
0,26,1.2,2.3
0,27,1.2,3.5
0,28,1.1,4.7
0,29,1.2,3.3
0,30,1.7,4.6
0,31,0.9,3.2
0,31,0.9,3.2
0,31,0.9,3.2
0,32,0.2,5.7
0,33,1.0,3.4
0,33,1.0,3.4
0,33,1.0,3.4
0,34,0.2,2.9
0,34,0.2,2.9
0,35,2.0,4.6
0,36,1.0,3.4
0,37,0.3,4.4
0,37,0.3,4.4
0,37,0.3,4.4
0,38,0.1,3.0
0,39,0.1,4.6
0,39,0.1,4.6
0,39,0.1,4.6
0,40,1.2,2.5
0,41,1.2,3.7
0,42,1.2,3.6
0,42,1.2,3.6
0,43,-0.1,5.1
0,44,1.1,5.3
0,45,-0.1,3.2
0,46,0.7,2.9
0,46,0.7,2.9
0,47,1.9,5.2
0,0,1.2,6.4
0,0,1.2,6.4
0,1,1.2,6.4
0,2,1.3,6.3
0,2,1.3,6.3
0,3,2.1,5.3
0,3,2.1,5.3
0,4,2.1,7.6
0,5,2.4,6.6
0,5,2.4,6.6
0,6,1.9,6.1
0,6,1.9,6.1
