Navn;Definition;Attainable;Importance;Cat/Num;Datatype;Min;Max;Mean;Std
antal_forsinkelse_fra_tyskland_pa_ikke_myldretid;;;;Numerical;int;0;24;6,931560422369965;3,4487802314640827
antal_forsinkelse_fra_tyskland_pa_myldretid;;;;Numerical;int;0;11;2,712162690653109;2,5166036775322165
antal_forsinkelse_fra_tyskland_tdr_ikke_myldretid;;;;Numerical;int;0;5;0,4012514665623778;0,6834320620653003
antal_forsinkelse_fra_tyskland_tdr_myldretid;;;;Numerical;int;0;3;0,15213140398904967;0,4212869082700858
SEASON_SIN;;;;Numerical;float;-0,9999907397361901;0,9999907397361901;1,3463712284595583e-05;0,7068321252396275
SEASON_COS;;;;Numerical;float;-0,9999629591162655;1;0,0007820507150638135;0,7073844420505598
dsb_tgf_number_of_changes;;;;Numerical;int;0;79;2,4358623386781386;7,627936140745155
dsb_litra_type_abs_b_bk;;;;Numerical;int;0;2073;54,651439487380046;175,80018554924013
dsb_litra_type_br;;;;Numerical;int;0;38;0,26064197827983515;1,6399656289579845
dsb_litra_type_ea;;;;Numerical;int;0;44;0,457707850746568;2,290419511437637
dsb_litra_type_eb;;;;Numerical;int;0;465;4,344424054631329;30,406664717861027
dsb_litra_type_er;;;;Numerical;int;0;412;30,262376783690822;62,368932140705915
dsb_litra_type_et;;;;Numerical;int;0;1262;35,33765530519539;142,01991240234668
dsb_litra_type_ic2;;;;Numerical;int;0;25;0,009130290905809092;0,23935507266884218
dsb_litra_type_me;;;;Numerical;int;0;245;7,473611904976786;23,758860128978686
dsb_litra_type_mf;;;;Numerical;int;0;608;64,67539083260633;99,82217009725616
dsb_litra_type_mg;;;;Numerical;int;0;391;15,90489154959237;32,22502287064796
dsb_litra_type_mq;;;;Numerical;int;0;200;1,6195762261464255;11,939915704766957
dsb_litra_type_mr;;;;Numerical;int;0;72;0,19146034515608235;1,524876072612638
dsb_station_passengers_in;;;;Numerical;float;-75819,4699;64864,5746;404,6484798936099;5943,5142513885185
dsb_station_passengers_out;;;;Numerical;float;0;56653,41947374822;3593,4832398903136;7918,381088670458
dsb_opformeringer;;;;Numerical;int;0;56;1,5994705333774555;5,99052796928535
dsb_nedformeringer;;;;Numerical;int;0;59;1,8599921783339852;6,256285534127944
dsb_open_errors_a;;;;Numerical;int;0;91;1,7467735627688699;5,075014409751212
dsb_open_errors_b;;;;Numerical;int;0;106;2,1177611985199003;5,5151675488130625
dsb_open_errors_c;;;;Numerical;int;0;481;16,900479327737834;35,48896558231327
dsb_open_errors_d;;;;Numerical;int;0;1354;58,20951535754039;108,75549460725625
dsb_antal_72_timer_foer;;;;Numerical;int;0;454;4,455326253722812;10,391050714634252
dsb_antal_i_alt;;;;Numerical;int;0;468;5,866535302788725;13,886386122308505
dsb_antal_paa_dagen;;;;Numerical;int;0;451;4,051021329081556;9,387992170129545
dsb_antal_uberoert;;;;Numerical;int;0;551;76,24750057659718;105,84826648181551
dsb_antal_stdv;;;;Numerical;float;0;122,1651887132064;1,0140005453860956;4,472271910463542
dsb_lkf_qualifications;;;;Numerical;int;0;1115;417,60108500546517;356,7712746182993
dsb_lkf_relative_qualifications;;;;Numerical;float;0;1,0538847117794485;0,39426837341399595;0,33507991608159343
dsb_lkf_number_of_changes;;;;Numerical;int;0;338;56,61850826790209;71,74791582826093
dsb_litra_km_abs;;;;Numerical;float;0;15573,3798828125;915,0408935546875;2352,6611328125
dsb_litra_km_b;;;;Numerical;float;0;40979,0390625;2137,299560546875;5576,11279296875
dsb_litra_km_bk;;;;Numerical;float;0;16182,08984375;910,3519897460938;2344,053955078125
dsb_litra_km_ea;;;;Numerical;float;0;2421,080078125;27,574350357055664;154,58702087402344
dsb_litra_km_eb;;;;Numerical;float;0;15461,0400390625;209,17478942871094;1318,811767578125
dsb_litra_km_er;;;;Numerical;float;0;50723,6796875;4483,68017578125;8156,90478515625
dsb_litra_km_ets;;;;Numerical;float;0;64165,66796875;1806,1033935546875;7622,73095703125
dsb_litra_km_me;;;;Numerical;float;0;14473,3798828125;610,9087524414062;1758,5216064453125
dsb_litra_km_mf;;;;Numerical;float;0;87432,4765625;11993,03125;18390,14453125
dsb_litra_km_mga;;;;Numerical;float;0;20993,279296875;1494,942138671875;2690,321044921875
dsb_litra_km_mq;;;;Numerical;float;0;5272,5;54,14935302734375;352,38970947265625
dsb_litra_km_mr;;;;Numerical;float;0;4385,919921875;9,189332962036133;97,87306213378906
